scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,281.0,14.0,20.0,178.0,38.0,45.0,False,False,False,False,False,False
2,279.0,15.0,19.0,174.0,41.0,53.0,False,False,False,False,False,False
3,277.0,13.0,21.0,172.0,41.0,57.0,False,False,False,False,False,False
4,268.0,16.0,19.0,167.0,39.0,56.0,False,False,False,False,False,False
5,257.0,21.0,16.0,143.0,44.0,50.0,False,False,False,False,False,False
6,255.0,17.0,17.0,122.0,55.0,44.0,False,False,False,False,False,False
7,256.0,8.0,23.0,117.0,55.0,39.0,False,False,False,False,False,False
8,249.0,7.0,28.0,118.0,54.0,33.0,False,False,False,False,False,False
9,241.0,12.0,31.0,121.0,56.0,30.0,False,False,False,False,False,False
10,227.0,13.0,28.0,116.0,50.0,25.0,False,False,False,False,False,False
11,215.0,15.0,27.0,105.0,50.0,21.0,False,False,False,False,False,False
12,201.0,19.0,28.0,95.0,49.0,21.0,False,False,False,False,False,False
13,187.0,19.0,31.0,100.0,44.0,25.0,False,False,False,False,False,False
14,169.0,11.0,29.0,93.0,35.0,26.0,False,False,False,False,False,False
15,146.0,11.0,28.0,125.0,17.0,29.0,False,False,False,False,False,False
16,121.0,11.0,27.0,119.0,9.0,27.0,False,False,False,False,False,False
17,108.0,2.0,31.0,105.0,17.0,23.0,False,False,False,False,False,False
18,99.0,1.0,29.0,99.0,20.0,18.0,False,False,False,False,False,False
19,91.0,9.0,26.0,110.0,20.0,11.0,False,False,False,False,False,False
20,79.0,15.0,26.0,106.0,21.0,9.0,False,False,False,False,False,False
21,65.0,20.0,28.0,101.0,23.0,9.0,False,False,False,False,False,False
22,57.0,20.0,27.0,112.0,21.0,9.0,False,False,False,False,False,False
23,54.0,20.0,26.0,126.0,17.0,11.0,False,False,False,False,False,False
24,45.0,18.0,26.0,120.0,16.0,10.0,False,False,False,False,False,False
25,40.0,13.0,22.0,118.0,14.0,8.0,False,False,False,False,False,False
26,38.0,8.0,20.0,137.0,16.0,8.0,False,False,False,False,False,False
27,30.0,7.0,20.0,145.0,17.0,8.0,False,False,False,False,False,False
28,21.0,15.0,15.0,154.0,8.0,9.0,False,False,False,False,False,False
29,15.0,18.0,11.0,153.0,5.0,7.0,False,False,False,False,False,False
30,16.0,13.0,13.0,145.0,8.0,3.0,False,False,False,False,False,False
31,18.0,7.0,14.0,138.0,6.0,2.0,False,False,False,False,False,False
32,16.0,5.0,15.0,124.0,9.0,0.0,False,False,False,False,False,False
33,12.0,5.0,16.0,109.0,14.0,0.0,False,False,False,False,False,False
34,12.0,6.0,27.0,112.0,15.0,2.0,False,False,False,False,False,False
35,14.0,7.0,28.0,117.0,8.0,2.0,False,False,False,False,False,False
36,11.0,10.0,24.0,130.0,6.0,1.0,False,False,False,False,False,False
37,11.0,6.0,20.0,125.0,9.0,0.0,False,False,False,False,False,False
38,15.0,0.0,23.0,129.0,9.0,0.0,False,False,False,False,False,False
39,11.0,0.0,23.0,122.0,7.0,0.0,False,False,False,False,False,False
40,5.0,1.0,25.0,109.0,5.0,0.0,False,False,False,False,False,False
41,4.0,0.0,26.0,108.0,10.0,0.0,False,False,False,False,False,False
42,7.0,0.0,25.0,110.0,16.0,0.0,False,False,False,False,False,False
