scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,183.0,8.0,15.0,104.0,19.0,24.0,False,False,False,False,False,False
2,187.0,16.0,11.0,121.0,25.0,29.0,False,False,False,False,False,False
3,192.0,13.0,9.0,121.0,33.0,38.0,False,False,False,False,False,False
4,196.0,8.0,11.0,107.0,43.0,46.0,False,False,False,False,False,False
5,202.0,9.0,14.0,95.0,38.0,51.0,False,False,False,False,False,False
6,208.0,11.0,12.0,97.0,36.0,56.0,False,False,False,False,False,False
7,218.0,7.0,9.0,86.0,40.0,55.0,False,False,False,False,False,False
8,221.0,9.0,9.0,73.0,38.0,50.0,False,False,False,False,False,False
9,221.0,12.0,11.0,68.0,28.0,44.0,False,False,False,False,False,False
10,225.0,6.0,14.0,89.0,21.0,37.0,False,False,False,False,False,False
11,221.0,3.0,14.0,85.0,22.0,29.0,False,False,False,False,False,False
12,216.0,7.0,18.0,73.0,25.0,24.0,False,False,False,False,False,False
13,208.0,8.0,16.0,76.0,24.0,25.0,False,False,False,False,False,False
14,199.0,11.0,12.0,94.0,23.0,24.0,False,False,False,False,False,False
15,185.0,14.0,15.0,95.0,22.0,21.0,False,False,False,False,False,False
16,167.0,16.0,22.0,99.0,18.0,22.0,False,False,False,False,False,False
17,155.0,17.0,21.0,110.0,11.0,22.0,False,False,False,False,False,False
18,144.0,15.0,16.0,115.0,4.0,20.0,False,False,False,False,False,False
19,129.0,10.0,16.0,98.0,8.0,18.0,False,False,False,False,False,False
20,112.0,2.0,21.0,83.0,16.0,15.0,False,False,False,False,False,False
21,92.0,5.0,17.0,85.0,18.0,12.0,False,False,False,False,False,False
22,81.0,13.0,14.0,83.0,16.0,9.0,False,False,False,False,False,False
23,77.0,11.0,17.0,78.0,14.0,8.0,False,False,False,False,False,False
24,66.0,7.0,17.0,76.0,10.0,10.0,False,False,False,False,False,False
25,57.0,7.0,14.0,98.0,4.0,11.0,False,False,False,False,False,False
26,47.0,5.0,14.0,97.0,4.0,9.0,False,False,False,False,False,False
