scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,0.0,1.0,76.0,266.0,73.0,25.0,False,False,False,False,False,False
2,-3.0,9.0,58.0,260.0,70.0,27.0,False,False,False,False,False,False
3,-1.0,18.0,54.0,256.0,60.0,31.0,False,False,False,False,False,False
4,3.0,16.0,51.0,247.0,61.0,33.0,False,False,False,False,False,False
5,8.0,8.0,53.0,245.0,69.0,33.0,False,False,False,False,False,False
6,10.0,5.0,54.0,230.0,62.0,39.0,False,False,False,False,False,False
7,7.0,13.0,53.0,228.0,54.0,49.0,False,False,False,False,False,False
8,5.0,18.0,51.0,210.0,57.0,53.0,False,False,False,False,False,False
9,10.0,18.0,50.0,185.0,61.0,56.0,False,False,False,False,False,False
10,18.0,17.0,44.0,182.0,67.0,60.0,False,False,False,False,False,False
11,21.0,20.0,36.0,187.0,72.0,62.0,False,False,False,False,False,False
12,23.0,19.0,36.0,178.0,76.0,58.0,False,False,False,False,False,False
13,31.0,10.0,40.0,163.0,79.0,49.0,False,False,False,False,False,False
14,41.0,9.0,47.0,152.0,74.0,40.0,False,False,False,False,False,False
15,49.0,19.0,44.0,141.0,65.0,30.0,False,False,False,False,False,False
16,63.0,27.0,41.0,122.0,66.0,21.0,False,False,False,False,False,False
17,84.0,27.0,44.0,108.0,62.0,17.0,False,False,False,False,False,False
18,97.0,28.0,43.0,123.0,55.0,16.0,False,False,False,False,False,False
19,105.0,22.0,39.0,126.0,44.0,15.0,False,False,False,False,False,False
20,116.0,17.0,37.0,137.0,43.0,12.0,False,False,False,False,False,False
21,132.0,17.0,33.0,129.0,45.0,9.0,False,False,False,False,False,False
22,150.0,12.0,35.0,118.0,40.0,13.0,False,False,False,False,False,False
23,165.0,3.0,36.0,110.0,29.0,17.0,False,False,False,False,False,False
24,192.0,4.0,35.0,120.0,25.0,16.0,False,False,False,False,False,False
25,197.0,15.0,30.0,111.0,34.0,15.0,False,False,False,False,False,False
26,219.0,18.0,35.0,131.0,37.0,11.0,False,False,False,False,False,False
27,230.0,8.0,37.0,130.0,25.0,7.0,False,False,False,False,False,False
28,251.0,0.0,42.0,118.0,21.0,5.0,False,False,False,False,False,False
29,254.0,0.0,40.0,105.0,22.0,3.0,False,False,False,False,False,False
30,255.0,1.0,37.0,109.0,20.0,6.0,False,False,False,False,False,False
31,245.0,5.0,32.0,110.0,20.0,8.0,False,False,False,False,False,False
32,241.0,5.0,28.0,124.0,18.0,8.0,False,False,False,False,False,False
33,231.0,1.0,28.0,139.0,10.0,4.0,False,False,False,False,False,False
34,218.0,1.0,29.0,152.0,5.0,2.0,False,False,False,False,False,False
35,196.0,5.0,27.0,143.0,5.0,2.0,False,False,False,False,False,False
36,177.0,4.0,26.0,134.0,3.0,3.0,False,False,False,False,False,False
37,166.0,-1.0,31.0,133.0,2.0,0.0,False,False,False,False,False,False
38,157.0,-7.0,33.0,132.0,2.0,-2.0,False,False,False,False,False,False
39,146.0,-1.0,30.0,133.0,3.0,-3.0,False,False,False,False,False,False
40,132.0,3.0,31.0,126.0,7.0,-4.0,False,False,False,False,False,False
41,119.0,3.0,44.0,118.0,12.0,-4.0,False,False,False,False,False,False
42,98.0,5.0,45.0,117.0,13.0,-1.0,False,False,False,False,False,False
43,83.0,12.0,38.0,109.0,8.0,0.0,False,False,False,False,False,False
