scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,330.0,34.0,24.0,136.0,49.0,63.0,False,False,False,False,False,False
2,323.0,33.0,21.0,114.0,59.0,63.0,False,False,False,False,False,False
3,315.0,24.0,25.0,102.0,57.0,61.0,False,False,False,False,False,False
4,301.0,30.0,23.0,123.0,52.0,60.0,False,False,False,False,False,False
5,278.0,35.0,14.0,107.0,56.0,55.0,False,False,False,False,False,False
6,257.0,25.0,14.0,110.0,64.0,50.0,False,False,False,False,False,False
7,234.0,13.0,17.0,78.0,76.0,41.0,False,False,False,False,False,False
8,218.0,14.0,19.0,71.0,85.0,33.0,False,False,False,False,False,False
9,203.0,19.0,18.0,77.0,73.0,29.0,False,False,False,False,False,False
10,194.0,15.0,24.0,100.0,64.0,29.0,False,False,False,False,False,False
11,173.0,10.0,27.0,108.0,53.0,26.0,False,False,False,False,False,False
12,151.0,13.0,23.0,115.0,46.0,21.0,False,False,False,False,False,False
13,133.0,20.0,17.0,122.0,44.0,18.0,False,False,False,False,False,False
14,120.0,24.0,23.0,146.0,35.0,23.0,False,False,False,False,False,False
15,108.0,21.0,28.0,191.0,20.0,28.0,False,False,False,False,False,False
16,95.0,18.0,31.0,240.0,14.0,26.0,False,False,False,False,False,False
17,79.0,12.0,30.0,262.0,21.0,20.0,False,False,False,False,False,False
18,69.0,6.0,28.0,261.0,25.0,16.0,False,False,False,False,False,False
19,56.0,8.0,29.0,244.0,24.0,14.0,False,False,False,False,False,False
20,44.0,12.0,32.0,223.0,20.0,10.0,False,False,False,False,False,False
21,38.0,10.0,32.0,197.0,18.0,7.0,False,False,False,False,False,False
22,37.0,8.0,35.0,167.0,19.0,7.0,False,False,False,False,False,False
23,38.0,11.0,37.0,143.0,24.0,9.0,False,False,False,False,False,False
24,42.0,10.0,33.0,127.0,24.0,5.0,False,False,False,False,False,False
25,46.0,6.0,32.0,121.0,21.0,4.0,False,False,False,False,False,False
26,35.0,7.0,32.0,114.0,15.0,6.0,False,False,False,False,False,False
27,28.0,8.0,30.0,143.0,8.0,9.0,False,False,False,False,False,False
28,25.0,5.0,27.0,143.0,5.0,11.0,False,False,False,False,False,False
29,31.0,3.0,28.0,152.0,11.0,9.0,False,False,False,False,False,False
30,33.0,1.0,29.0,143.0,18.0,4.0,False,False,False,False,False,False
31,29.0,1.0,25.0,144.0,19.0,1.0,False,False,False,False,False,False
32,24.0,3.0,16.0,136.0,11.0,0.0,False,False,False,False,False,False
33,19.0,2.0,19.0,115.0,2.0,0.0,False,False,False,False,False,False
34,10.0,4.0,21.0,101.0,0.0,2.0,False,False,False,False,False,False
35,8.0,2.0,24.0,96.0,4.0,3.0,False,False,False,False,False,False
36,13.0,-1.0,31.0,89.0,13.0,1.0,False,False,False,False,False,False
37,13.0,2.0,33.0,99.0,13.0,0.0,False,False,False,False,False,False
38,11.0,11.0,23.0,105.0,7.0,-1.0,False,False,False,False,False,False
39,11.0,9.0,23.0,107.0,6.0,0.0,False,False,False,False,False,False
40,15.0,5.0,28.0,105.0,4.0,0.0,False,False,False,False,False,False
41,21.0,1.0,29.0,103.0,6.0,0.0,False,False,False,False,False,False
42,22.0,0.0,27.0,111.0,13.0,0.0,False,False,False,False,False,False
43,17.0,1.0,25.0,119.0,18.0,0.0,False,False,False,False,False,False
44,7.0,6.0,25.0,119.0,18.0,0.0,False,False,False,False,False,False
45,5.0,7.0,26.0,104.0,15.0,0.0,False,False,False,False,False,False
46,6.0,2.0,34.0,81.0,12.0,2.0,False,False,False,False,False,False
47,4.0,0.0,36.0,70.0,10.0,7.0,False,False,False,False,False,False
48,1.0,1.0,36.0,92.0,3.0,10.0,False,False,False,False,False,False
49,3.0,10.0,37.0,96.0,5.0,6.0,False,False,False,False,False,False
50,6.0,14.0,32.0,96.0,17.0,3.0,False,False,False,False,False,False
51,0.0,8.0,26.0,96.0,18.0,6.0,False,False,False,False,False,False
52,0.0,2.0,30.0,103.0,9.0,7.0,False,False,False,False,False,False
53,6.0,1.0,29.0,97.0,6.0,6.0,False,False,False,False,False,False
54,8.0,0.0,22.0,89.0,8.0,6.0,False,False,False,False,False,False
55,4.0,0.0,13.0,79.0,2.0,5.0,False,False,False,False,False,False
56,5.0,0.0,16.0,98.0,-3.0,4.0,False,False,False,False,False,False
57,10.0,1.0,19.0,103.0,0.0,7.0,False,False,False,False,False,False
58,11.0,4.0,21.0,97.0,11.0,9.0,False,False,False,False,False,False
59,8.0,5.0,21.0,87.0,16.0,7.0,False,False,False,False,False,False
60,9.0,4.0,23.0,81.0,10.0,5.0,False,False,False,False,False,False
61,10.0,0.0,26.0,78.0,6.0,4.0,False,False,False,False,False,False
62,15.0,0.0,23.0,76.0,5.0,4.0,False,False,False,False,False,False
63,17.0,7.0,16.0,71.0,3.0,3.0,False,False,False,False,False,False
64,13.0,10.0,13.0,71.0,0.0,3.0,False,False,False,False,False,False
65,7.0,6.0,16.0,66.0,0.0,1.0,False,False,False,False,False,False
66,6.0,6.0,13.0,61.0,5.0,0.0,False,False,False,False,False,False
67,12.0,8.0,8.0,60.0,9.0,0.0,False,False,False,False,False,False
68,14.0,10.0,8.0,60.0,12.0,1.0,False,False,False,False,False,False
69,7.0,12.0,7.0,64.0,10.0,2.0,False,False,False,False,False,False
70,7.0,7.0,5.0,65.0,6.0,3.0,False,False,False,False,False,False
71,22.0,1.0,8.0,62.0,1.0,4.0,False,False,False,False,False,False
72,36.0,2.0,10.0,54.0,1.0,2.0,False,False,False,False,False,False
73,38.0,6.0,10.0,43.0,11.0,0.0,False,False,False,False,False,False
74,34.0,8.0,6.0,39.0,12.0,2.0,False,False,False,False,False,False
75,41.0,2.0,11.0,55.0,1.0,7.0,False,False,False,False,False,False
76,45.0,-3.0,17.0,64.0,-1.0,6.0,False,False,False,False,False,False
77,39.0,0.0,15.0,65.0,10.0,0.0,False,False,False,False,False,False
78,37.0,0.0,9.0,53.0,21.0,0.0,False,False,False,False,False,False
79,38.0,-2.0,7.0,54.0,17.0,2.0,False,False,False,False,False,False
80,28.0,5.0,2.0,52.0,10.0,5.0,False,False,False,False,False,False
81,15.0,13.0,2.0,73.0,5.0,4.0,False,False,False,False,False,False
82,9.0,11.0,2.0,73.0,3.0,6.0,False,False,False,False,False,False
83,12.0,11.0,0.0,73.0,7.0,5.0,False,False,False,False,False,False
84,19.0,9.0,2.0,68.0,14.0,2.0,False,False,False,False,False,False
85,25.0,5.0,8.0,68.0,17.0,4.0,False,False,False,False,False,False
86,20.0,5.0,10.0,74.0,9.0,7.0,False,False,False,False,False,False
87,10.0,5.0,6.0,82.0,6.0,7.0,False,False,False,False,False,False
88,7.0,7.0,2.0,77.0,11.0,6.0,False,False,False,False,False,True
89,14.0,14.0,5.0,81.0,10.0,11.0,False,False,False,False,False,True
90,21.0,14.0,18.0,88.0,8.0,22.0,False,False,False,False,False,True
91,24.0,6.0,33.0,88.0,10.0,40.0,False,False,False,False,False,True
92,26.0,0.0,44.0,83.0,15.0,73.0,False,False,False,False,False,True
93,23.0,2.0,48.0,76.0,14.0,131.0,False,False,False,False,False,True
94,17.0,14.0,49.0,82.0,9.0,221.0,False,False,False,False,False,True
95,15.0,12.0,52.0,84.0,7.0,351.0,False,False,False,False,False,True
96,17.0,0.0,58.0,76.0,13.0,515.0,False,False,False,False,False,True
97,15.0,0.0,54.0,72.0,18.0,696.0,False,False,False,False,False,True
98,11.0,4.0,47.0,68.0,15.0,889.0,False,False,False,False,False,True
99,11.0,4.0,42.0,51.0,16.0,1059.0,False,False,False,False,False,True
100,12.0,0.0,38.0,53.0,12.0,1163.0,False,False,False,False,False,True
101,6.0,1.0,32.0,61.0,2.0,1196.0,False,False,False,False,False,True
102,1.0,4.0,29.0,68.0,2.0,1146.0,False,False,False,False,False,True
103,7.0,6.0,22.0,54.0,8.0,1026.0,False,False,False,False,False,True
104,12.0,7.0,20.0,40.0,3.0,867.0,False,False,False,False,False,True
105,13.0,6.0,22.0,42.0,-1.0,688.0,False,False,False,False,False,True
106,13.0,4.0,21.0,44.0,0.0,516.0,False,False,False,False,False,True
107,6.0,2.0,22.0,36.0,3.0,366.0,False,False,False,False,False,True
108,2.0,10.0,18.0,32.0,2.0,248.0,False,False,False,False,False,True
109,13.0,12.0,18.0,39.0,0.0,169.0,False,False,False,False,False,True
110,21.0,14.0,20.0,44.0,0.0,115.0,False,False,False,False,False,True
111,21.0,17.0,23.0,40.0,8.0,78.0,False,False,False,False,False,True
112,12.0,15.0,20.0,28.0,4.0,55.0,False,False,False,False,False,True
113,0.0,14.0,17.0,21.0,3.0,40.0,False,False,False,False,False,True
114,3.0,14.0,14.0,26.0,9.0,25.0,False,False,False,False,False,True
115,11.0,6.0,13.0,33.0,16.0,13.0,False,False,False,False,False,True
116,13.0,0.0,15.0,35.0,14.0,6.0,False,False,False,False,False,True
117,11.0,0.0,14.0,34.0,5.0,3.0,False,False,False,False,False,True
118,11.0,3.0,13.0,41.0,4.0,0.0,False,False,False,False,False,True
119,8.0,7.0,12.0,33.0,8.0,-2.0,False,False,False,False,False,True
120,11.0,4.0,15.0,40.0,11.0,0.0,False,False,False,False,False,False
121,13.0,3.0,12.0,34.0,12.0,1.0,False,False,False,False,False,False
122,14.0,7.0,8.0,33.0,8.0,0.0,False,False,False,False,False,False
123,10.0,9.0,9.0,40.0,9.0,-1.0,False,False,False,False,False,False
124,7.0,13.0,7.0,39.0,11.0,-1.0,False,False,False,False,False,False
125,6.0,14.0,7.0,36.0,10.0,0.0,False,False,False,False,False,False
126,4.0,9.0,10.0,37.0,6.0,0.0,False,False,False,False,False,False
127,10.0,2.0,18.0,58.0,8.0,0.0,False,False,False,False,False,False
128,8.0,9.0,16.0,48.0,14.0,0.0,False,False,False,False,False,False
129,0.0,21.0,13.0,62.0,11.0,1.0,False,False,False,False,False,False
130,0.0,20.0,19.0,69.0,0.0,1.0,False,False,False,False,False,False
131,7.0,14.0,23.0,71.0,-4.0,3.0,False,False,False,False,False,False
132,11.0,19.0,25.0,75.0,0.0,6.0,False,False,False,False,False,False
133,7.0,26.0,20.0,75.0,4.0,4.0,False,False,False,False,False,False
134,3.0,24.0,18.0,53.0,9.0,2.0,False,False,False,False,False,True
135,5.0,30.0,17.0,43.0,7.0,3.0,False,False,False,False,False,True
136,8.0,35.0,19.0,51.0,0.0,6.0,False,False,False,False,False,True
137,6.0,37.0,22.0,60.0,-1.0,13.0,False,False,False,False,False,True
138,-3.0,47.0,22.0,57.0,1.0,21.0,False,False,False,False,False,True
139,0.0,53.0,18.0,53.0,2.0,28.0,False,False,False,False,False,True
140,8.0,53.0,21.0,53.0,4.0,36.0,False,False,False,False,False,True
141,6.0,53.0,22.0,54.0,2.0,51.0,False,False,False,False,False,True
142,0.0,64.0,13.0,50.0,1.0,72.0,False,False,False,False,False,True
143,0.0,73.0,9.0,44.0,7.0,108.0,False,False,False,False,False,True
144,6.0,72.0,5.0,30.0,14.0,181.0,False,False,False,False,False,True
145,11.0,73.0,10.0,16.0,29.0,297.0,False,False,False,False,False,True
146,13.0,78.0,17.0,14.0,27.0,466.0,False,False,False,False,False,True
147,8.0,79.0,21.0,22.0,13.0,676.0,False,False,False,False,False,True
148,6.0,77.0,20.0,25.0,15.0,881.0,False,False,False,False,False,True
149,11.0,80.0,18.0,26.0,25.0,1058.0,False,False,False,False,False,True
150,13.0,73.0,22.0,19.0,21.0,1181.0,False,False,False,False,False,True
151,9.0,68.0,23.0,21.0,12.0,1200.0,False,False,False,False,False,True
152,15.0,72.0,17.0,34.0,9.0,1128.0,False,False,False,False,False,True
153,7.0,74.0,10.0,38.0,4.0,986.0,False,False,False,False,False,True
154,0.0,75.0,6.0,30.0,-4.0,804.0,False,False,False,False,False,True
155,0.0,70.0,7.0,25.0,-4.0,606.0,False,False,False,False,False,True
156,0.0,71.0,6.0,17.0,2.0,433.0,False,False,False,False,False,True
157,8.0,66.0,11.0,9.0,7.0,299.0,False,False,False,False,False,True
158,15.0,51.0,14.0,16.0,8.0,202.0,False,False,False,False,False,True
159,11.0,43.0,10.0,31.0,8.0,134.0,False,False,False,False,False,True
160,8.0,40.0,4.0,37.0,5.0,92.0,False,False,False,False,False,True
161,11.0,36.0,3.0,37.0,1.0,71.0,False,False,False,False,False,True
162,15.0,35.0,5.0,32.0,2.0,51.0,False,False,False,False,False,True
163,15.0,35.0,2.0,28.0,3.0,33.0,False,False,False,False,False,True
164,14.0,29.0,2.0,33.0,0.0,26.0,False,False,False,False,False,True
165,10.0,29.0,2.0,30.0,3.0,16.0,False,False,False,False,False,True
166,0.0,31.0,0.0,29.0,15.0,4.0,False,False,False,False,False,True
167,1.0,22.0,2.0,22.0,20.0,1.0,False,False,False,False,False,True
168,4.0,14.0,4.0,26.0,12.0,5.0,False,False,False,False,False,False
169,2.0,14.0,3.0,26.0,8.0,3.0,False,False,False,False,False,False
170,-3.0,11.0,8.0,18.0,12.0,0.0,False,False,False,False,False,False
171,-3.0,13.0,5.0,31.0,8.0,0.0,False,False,False,False,False,False
172,0.0,9.0,0.0,42.0,0.0,1.0,False,False,False,False,False,False
173,2.0,0.0,2.0,37.0,4.0,4.0,False,False,False,False,False,False
174,7.0,4.0,5.0,20.0,12.0,4.0,False,False,False,False,False,False
175,7.0,6.0,5.0,13.0,13.0,1.0,False,False,False,False,False,False
176,1.0,9.0,2.0,23.0,7.0,0.0,False,False,False,False,False,False
177,-4.0,15.0,0.0,34.0,1.0,0.0,False,False,False,False,False,False
178,-7.0,21.0,0.0,35.0,-4.0,1.0,False,False,False,False,False,False
179,-4.0,8.0,7.0,32.0,2.0,4.0,False,False,False,False,False,False
180,5.0,-1.0,12.0,38.0,14.0,2.0,False,False,False,False,False,False
181,16.0,-1.0,9.0,41.0,12.0,0.0,False,False,False,False,False,False
182,16.0,0.0,3.0,42.0,7.0,0.0,False,False,False,False,False,False
183,9.0,6.0,0.0,42.0,4.0,2.0,False,False,False,False,False,False
184,9.0,10.0,0.0,35.0,2.0,4.0,False,False,False,False,False,False
185,7.0,8.0,3.0,36.0,7.0,4.0,False,False,False,False,False,False
186,5.0,8.0,2.0,46.0,13.0,2.0,False,False,False,False,False,False
187,6.0,5.0,1.0,33.0,17.0,3.0,False,False,False,False,False,False
188,5.0,-1.0,7.0,24.0,11.0,5.0,False,False,False,False,False,False
189,-1.0,0.0,5.0,25.0,5.0,4.0,False,False,False,False,False,False
190,2.0,3.0,5.0,29.0,3.0,8.0,False,False,False,False,False,False
191,15.0,6.0,7.0,34.0,0.0,10.0,False,False,False,False,False,False
192,17.0,10.0,10.0,29.0,0.0,6.0,False,False,False,False,False,False
193,10.0,5.0,11.0,25.0,5.0,4.0,False,False,False,False,False,False
194,7.0,0.0,3.0,30.0,6.0,7.0,False,False,False,False,False,False
195,7.0,-2.0,3.0,24.0,6.0,4.0,False,False,False,False,False,False
196,7.0,1.0,11.0,9.0,16.0,1.0,False,False,False,False,False,False
197,7.0,4.0,6.0,16.0,16.0,0.0,False,False,False,False,False,False
198,4.0,1.0,4.0,20.0,9.0,0.0,False,False,False,False,False,False
199,0.0,0.0,16.0,15.0,10.0,-1.0,False,False,False,False,False,False
200,2.0,0.0,24.0,11.0,14.0,0.0,False,False,False,False,False,False
201,6.0,1.0,17.0,7.0,13.0,1.0,False,False,False,False,False,False
202,9.0,2.0,10.0,16.0,5.0,3.0,False,False,False,False,False,False
203,9.0,2.0,10.0,22.0,2.0,3.0,False,False,False,False,False,False
204,12.0,4.0,18.0,19.0,2.0,2.0,False,False,False,False,False,False
205,14.0,10.0,26.0,6.0,0.0,7.0,False,False,False,False,False,False
206,17.0,7.0,32.0,0.0,7.0,8.0,False,False,False,False,False,False
207,14.0,3.0,26.0,6.0,13.0,6.0,False,False,False,False,False,False
208,9.0,6.0,16.0,13.0,11.0,4.0,False,False,False,False,False,False
209,14.0,11.0,11.0,12.0,6.0,2.0,False,False,False,False,False,False
210,18.0,12.0,5.0,14.0,2.0,0.0,False,False,False,False,False,False
211,21.0,13.0,2.0,13.0,2.0,0.0,False,False,False,False,False,False
212,28.0,6.0,2.0,17.0,3.0,0.0,False,False,False,False,False,False
213,33.0,1.0,1.0,23.0,0.0,1.0,False,False,False,False,False,False
214,29.0,12.0,8.0,21.0,-1.0,4.0,False,False,False,False,False,False
215,26.0,21.0,13.0,24.0,0.0,2.0,False,False,False,False,False,False
216,28.0,16.0,11.0,29.0,3.0,0.0,False,False,False,False,False,False
