scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,18.0,20.0,31.0,42.0,5.0,3.0,False,False,False,False,False,False
2,19.0,29.0,27.0,39.0,5.0,2.0,False,False,False,False,False,False
3,19.0,28.0,25.0,55.0,11.0,-1.0,False,False,False,False,False,False
4,23.0,20.0,26.0,45.0,13.0,-3.0,False,False,False,False,False,False
5,19.0,23.0,30.0,60.0,13.0,0.0,False,False,False,False,False,False
6,12.0,22.0,32.0,66.0,17.0,0.0,False,False,False,False,False,False
7,18.0,19.0,37.0,119.0,25.0,0.0,False,False,False,False,False,False
8,30.0,22.0,35.0,132.0,28.0,0.0,False,False,False,False,False,False
9,36.0,25.0,31.0,146.0,27.0,2.0,False,False,False,False,False,False
10,39.0,27.0,27.0,159.0,33.0,2.0,False,False,False,False,False,False
11,43.0,30.0,26.0,182.0,35.0,2.0,False,False,False,False,False,False
12,48.0,32.0,23.0,179.0,36.0,0.0,False,False,False,False,False,False
13,47.0,32.0,19.0,169.0,45.0,0.0,False,False,False,False,False,False
14,45.0,30.0,19.0,168.0,45.0,2.0,False,False,False,False,False,False
15,42.0,32.0,14.0,173.0,36.0,7.0,False,False,False,False,False,False
16,36.0,35.0,12.0,167.0,27.0,8.0,False,False,False,False,False,False
17,30.0,33.0,17.0,160.0,27.0,11.0,False,False,False,False,False,False
18,25.0,29.0,22.0,157.0,37.0,19.0,False,False,False,False,False,False
19,16.0,28.0,22.0,157.0,42.0,29.0,False,False,False,False,False,False
20,6.0,29.0,18.0,145.0,40.0,35.0,False,False,False,False,False,False
21,1.0,27.0,19.0,132.0,41.0,42.0,False,False,False,False,False,False
22,-1.0,22.0,23.0,127.0,41.0,51.0,False,False,False,False,False,False
23,-1.0,18.0,22.0,119.0,42.0,52.0,False,False,False,False,False,False
24,1.0,18.0,19.0,105.0,42.0,46.0,False,False,False,False,False,False
25,0.0,14.0,15.0,88.0,35.0,38.0,False,False,False,False,False,False
26,0.0,8.0,13.0,83.0,25.0,35.0,False,False,False,False,False,False
27,2.0,9.0,13.0,83.0,24.0,31.0,False,False,False,False,False,False
28,1.0,12.0,15.0,80.0,27.0,25.0,False,False,False,False,False,False
29,0.0,8.0,18.0,73.0,24.0,17.0,False,False,False,False,False,False
30,0.0,6.0,19.0,78.0,17.0,14.0,False,False,False,False,False,False
31,0.0,9.0,16.0,76.0,12.0,16.0,False,False,False,False,False,False
32,5.0,6.0,15.0,102.0,6.0,17.0,False,False,False,False,False,False
33,8.0,1.0,16.0,109.0,6.0,16.0,False,False,False,False,False,False
34,16.0,0.0,20.0,106.0,14.0,13.0,False,False,False,False,False,False
35,25.0,5.0,17.0,91.0,19.0,9.0,False,False,False,False,False,False
36,28.0,6.0,23.0,89.0,16.0,8.0,False,False,False,False,False,False
37,28.0,8.0,17.0,92.0,6.0,9.0,False,False,False,False,False,False
38,32.0,6.0,15.0,100.0,6.0,6.0,False,False,False,False,False,False
39,38.0,0.0,18.0,95.0,12.0,2.0,False,False,False,False,False,False
40,52.0,0.0,24.0,103.0,15.0,0.0,False,False,False,False,False,False
41,73.0,0.0,27.0,98.0,9.0,2.0,False,False,False,False,False,False
