scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,176.0,16.0,27.0,139.0,38.0,16.0,False,False,False,False,False,False
2,182.0,12.0,23.0,132.0,34.0,17.0,False,False,False,False,False,False
3,183.0,12.0,21.0,132.0,43.0,16.0,False,False,False,False,False,False
4,182.0,8.0,18.0,119.0,47.0,13.0,False,False,False,False,False,False
5,190.0,7.0,19.0,118.0,53.0,15.0,False,False,False,False,False,False
6,188.0,14.0,18.0,109.0,55.0,12.0,False,False,False,False,False,False
7,175.0,15.0,13.0,115.0,52.0,10.0,False,False,False,False,False,False
8,170.0,9.0,11.0,115.0,49.0,13.0,False,False,False,False,False,False
9,175.0,4.0,17.0,114.0,55.0,18.0,False,False,False,False,False,False
10,171.0,2.0,18.0,107.0,58.0,22.0,False,False,False,False,False,False
11,166.0,1.0,16.0,103.0,52.0,26.0,False,False,False,False,False,False
12,152.0,2.0,20.0,94.0,44.0,30.0,False,False,False,False,False,False
13,135.0,7.0,24.0,92.0,41.0,33.0,False,False,False,False,False,False
14,120.0,11.0,20.0,95.0,36.0,36.0,False,False,False,False,False,False
15,110.0,11.0,15.0,101.0,30.0,40.0,False,False,False,False,False,False
16,98.0,9.0,13.0,107.0,28.0,41.0,False,False,False,False,False,False
17,88.0,9.0,15.0,100.0,26.0,39.0,False,False,False,False,False,False
18,82.0,4.0,20.0,114.0,22.0,37.0,False,False,False,False,False,False
19,74.0,1.0,22.0,131.0,18.0,32.0,False,False,False,False,False,False
20,60.0,4.0,19.0,132.0,12.0,26.0,False,False,False,False,False,False
21,47.0,6.0,14.0,123.0,3.0,22.0,False,False,False,False,False,False
22,43.0,10.0,16.0,110.0,3.0,17.0,False,False,False,False,False,False
23,39.0,10.0,24.0,101.0,11.0,13.0,False,False,False,False,False,False
24,39.0,4.0,32.0,101.0,17.0,14.0,False,False,False,False,False,False
25,41.0,3.0,27.0,95.0,15.0,16.0,False,False,False,False,False,False
26,41.0,8.0,23.0,86.0,14.0,14.0,False,False,False,False,False,False
27,33.0,11.0,19.0,81.0,12.0,12.0,False,False,False,False,False,False
