scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,316.0,37.0,54.0,167.0,44.0,59.0,False,False,False,False,False,False
2,316.0,34.0,43.0,173.0,41.0,60.0,False,False,False,False,False,False
3,306.0,33.0,33.0,172.0,38.0,53.0,False,False,False,False,False,False
4,276.0,34.0,27.0,143.0,45.0,45.0,False,False,False,False,False,False
5,252.0,35.0,19.0,130.0,58.0,36.0,False,False,False,False,False,False
6,240.0,37.0,13.0,120.0,67.0,29.0,False,False,False,False,False,False
7,230.0,28.0,17.0,111.0,69.0,25.0,False,False,False,False,False,False
8,208.0,14.0,25.0,96.0,68.0,22.0,False,False,False,False,False,False
9,190.0,10.0,28.0,85.0,65.0,22.0,False,False,False,False,False,False
10,183.0,11.0,25.0,90.0,50.0,24.0,False,False,False,False,False,False
11,175.0,13.0,24.0,94.0,37.0,23.0,False,False,False,False,False,False
12,162.0,9.0,26.0,97.0,33.0,25.0,False,False,False,False,False,False
13,147.0,4.0,26.0,97.0,29.0,27.0,False,False,False,False,False,False
14,138.0,9.0,23.0,104.0,22.0,28.0,False,False,False,False,False,False
15,118.0,9.0,19.0,102.0,21.0,23.0,False,False,False,False,False,False
16,105.0,1.0,17.0,98.0,27.0,17.0,False,False,False,False,False,False
17,95.0,0.0,16.0,97.0,23.0,12.0,False,False,False,False,False,False
18,84.0,0.0,21.0,101.0,13.0,9.0,False,False,False,False,False,False
19,75.0,4.0,24.0,97.0,14.0,7.0,False,False,False,False,False,False
20,66.0,14.0,29.0,113.0,24.0,8.0,False,False,False,False,False,False
21,61.0,4.0,29.0,103.0,25.0,13.0,False,False,False,False,False,False
22,57.0,0.0,32.0,99.0,25.0,15.0,False,False,False,False,False,False
23,48.0,1.0,31.0,94.0,20.0,12.0,False,False,False,False,False,False
24,41.0,8.0,27.0,110.0,12.0,11.0,False,False,False,False,False,False
25,41.0,17.0,21.0,121.0,5.0,13.0,False,False,False,False,False,False
26,41.0,10.0,19.0,123.0,5.0,13.0,False,False,False,False,False,False
27,36.0,-2.0,22.0,115.0,9.0,8.0,False,False,False,False,False,False
28,30.0,-2.0,23.0,110.0,15.0,2.0,False,False,False,False,False,False
29,27.0,0.0,22.0,110.0,17.0,0.0,False,False,False,False,False,False
30,24.0,1.0,20.0,120.0,15.0,3.0,False,False,False,False,False,False
31,17.0,5.0,19.0,112.0,17.0,7.0,False,False,False,False,False,False
32,11.0,10.0,18.0,97.0,14.0,8.0,False,False,False,False,False,False
33,5.0,12.0,21.0,102.0,4.0,6.0,False,False,False,False,False,False
34,6.0,7.0,23.0,108.0,1.0,2.0,False,False,False,False,False,False
35,13.0,0.0,30.0,105.0,5.0,0.0,False,False,False,False,False,False
36,6.0,-1.0,30.0,96.0,9.0,0.0,False,False,False,False,False,False
37,-1.0,5.0,27.0,104.0,16.0,0.0,False,False,False,False,False,False
38,-4.0,14.0,22.0,94.0,18.0,0.0,False,False,False,False,False,False
39,-1.0,17.0,22.0,102.0,16.0,1.0,False,False,False,False,False,False
40,2.0,13.0,22.0,95.0,20.0,0.0,False,False,False,False,False,False
41,8.0,11.0,20.0,90.0,30.0,0.0,False,False,False,False,False,False
42,8.0,15.0,17.0,89.0,28.0,0.0,False,False,False,False,False,False
43,7.0,16.0,15.0,92.0,19.0,-2.0,False,False,False,False,False,False
44,8.0,7.0,17.0,82.0,15.0,0.0,False,False,False,False,False,False
45,9.0,0.0,22.0,69.0,18.0,3.0,False,False,False,False,False,False
46,2.0,2.0,25.0,66.0,21.0,3.0,False,False,False,False,False,False
