scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,-1.0,14.0,39.0,248.0,73.0,20.0,False,False,False,False,False,False
2,-12.0,15.0,34.0,250.0,74.0,18.0,False,False,False,False,False,False
3,-11.0,13.0,40.0,260.0,71.0,20.0,False,False,False,False,False,False
4,-7.0,13.0,49.0,253.0,71.0,23.0,False,False,False,False,False,False
5,-1.0,14.0,49.0,246.0,69.0,20.0,False,False,False,False,False,False
6,5.0,13.0,44.0,224.0,64.0,17.0,False,False,False,False,False,False
7,8.0,9.0,40.0,197.0,63.0,17.0,False,False,False,False,False,False
8,6.0,7.0,35.0,194.0,61.0,21.0,False,False,False,False,False,False
9,11.0,9.0,33.0,192.0,64.0,27.0,False,False,False,False,False,False
10,20.0,11.0,31.0,170.0,72.0,37.0,False,False,False,False,False,False
11,31.0,15.0,25.0,155.0,77.0,47.0,False,False,False,False,False,False
12,45.0,14.0,34.0,158.0,73.0,54.0,False,False,False,False,False,False
13,58.0,10.0,43.0,154.0,65.0,56.0,False,False,False,False,False,False
14,64.0,10.0,40.0,136.0,67.0,51.0,False,False,False,False,False,False
15,75.0,12.0,35.0,117.0,65.0,41.0,False,False,False,False,False,False
16,92.0,9.0,37.0,122.0,66.0,33.0,False,False,False,False,False,False
17,98.0,0.0,41.0,113.0,62.0,29.0,False,False,False,False,False,False
18,105.0,-4.0,41.0,116.0,51.0,25.0,False,False,False,False,False,False
19,121.0,4.0,34.0,116.0,42.0,19.0,False,False,False,False,False,False
20,142.0,10.0,34.0,129.0,42.0,11.0,False,False,False,False,False,False
21,156.0,3.0,32.0,125.0,41.0,7.0,False,False,False,False,False,False
22,166.0,3.0,32.0,146.0,31.0,10.0,False,False,False,False,False,False
23,173.0,1.0,33.0,135.0,27.0,12.0,False,False,False,False,False,False
24,190.0,4.0,34.0,132.0,31.0,13.0,False,False,False,False,False,False
25,188.0,9.0,32.0,141.0,24.0,13.0,False,False,False,False,False,False
26,192.0,7.0,35.0,156.0,19.0,12.0,False,False,False,False,False,False
27,191.0,2.0,38.0,141.0,15.0,11.0,False,False,False,False,False,False
28,201.0,0.0,46.0,146.0,16.0,11.0,False,False,False,False,False,False
29,193.0,-1.0,45.0,138.0,21.0,8.0,False,False,False,False,False,False
30,191.0,0.0,38.0,132.0,23.0,5.0,False,False,False,False,False,False
31,186.0,7.0,24.0,136.0,14.0,2.0,False,False,False,False,False,False
32,175.0,11.0,20.0,139.0,5.0,2.0,False,False,False,False,False,False
33,166.0,7.0,25.0,137.0,2.0,3.0,False,False,False,False,False,False
34,157.0,1.0,29.0,140.0,10.0,4.0,False,False,False,False,False,False
35,141.0,1.0,29.0,136.0,21.0,3.0,False,False,False,False,False,False
36,131.0,5.0,28.0,132.0,17.0,2.0,False,False,False,False,False,False
37,124.0,12.0,28.0,135.0,6.0,2.0,False,False,False,False,False,False
38,115.0,13.0,29.0,130.0,3.0,1.0,False,False,False,False,False,False
39,98.0,8.0,37.0,115.0,7.0,1.0,False,False,False,False,False,False
40,80.0,6.0,38.0,105.0,13.0,1.0,False,False,False,False,False,False
41,65.0,8.0,33.0,106.0,11.0,0.0,False,False,False,False,False,False
42,57.0,7.0,35.0,104.0,6.0,0.0,False,False,False,False,False,False
43,53.0,0.0,38.0,103.0,6.0,1.0,False,False,False,False,False,False
44,46.0,-5.0,30.0,89.0,6.0,5.0,False,False,False,False,False,False
45,35.0,-2.0,23.0,90.0,10.0,8.0,False,False,False,False,False,False
46,25.0,1.0,20.0,85.0,14.0,6.0,False,False,False,False,False,False
47,16.0,9.0,14.0,99.0,12.0,5.0,False,False,False,False,False,False
48,15.0,9.0,12.0,101.0,10.0,7.0,False,False,False,False,False,False
49,17.0,6.0,20.0,124.0,10.0,10.0,False,False,False,False,False,False
