scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,47.0,15.0,28.0,127.0,69.0,21.0,False,False,False,False,False,False
2,39.0,19.0,28.0,120.0,70.0,27.0,False,False,False,False,False,False
3,36.0,17.0,25.0,98.0,74.0,31.0,False,False,False,False,False,False
4,33.0,8.0,28.0,73.0,76.0,38.0,False,False,False,False,False,False
5,34.0,0.0,38.0,70.0,63.0,48.0,False,False,False,False,False,False
6,32.0,0.0,40.0,72.0,52.0,61.0,False,False,False,False,False,False
7,31.0,3.0,37.0,76.0,48.0,75.0,False,False,False,False,False,False
8,30.0,9.0,31.0,76.0,45.0,83.0,False,False,False,False,False,False
9,26.0,9.0,28.0,80.0,43.0,87.0,False,False,False,False,False,False
10,14.0,6.0,22.0,78.0,38.0,88.0,False,False,False,False,False,False
11,7.0,8.0,18.0,93.0,39.0,89.0,False,False,False,False,False,False
12,13.0,9.0,21.0,97.0,41.0,85.0,False,False,False,False,False,False
13,14.0,13.0,19.0,98.0,30.0,74.0,False,False,False,False,False,False
14,2.0,12.0,11.0,103.0,15.0,59.0,False,False,False,False,False,False
15,0.0,5.0,13.0,115.0,7.0,48.0,False,False,False,False,False,False
16,6.0,6.0,15.0,108.0,6.0,46.0,False,False,False,False,False,False
17,11.0,14.0,19.0,98.0,17.0,46.0,False,False,False,False,False,False
18,17.0,16.0,24.0,90.0,24.0,40.0,False,False,False,False,False,False
19,29.0,15.0,30.0,82.0,25.0,35.0,False,False,False,False,False,False
20,30.0,13.0,32.0,67.0,22.0,34.0,False,False,False,False,False,False
21,19.0,5.0,34.0,64.0,15.0,37.0,False,False,False,False,False,False
22,10.0,0.0,28.0,74.0,6.0,38.0,False,False,False,False,False,False
23,15.0,0.0,20.0,93.0,12.0,30.0,False,False,False,False,False,False
24,18.0,0.0,18.0,88.0,20.0,20.0,False,False,False,False,False,False
25,19.0,2.0,18.0,84.0,13.0,16.0,False,False,False,False,False,False
26,19.0,6.0,15.0,83.0,1.0,13.0,False,False,False,False,False,False
27,19.0,10.0,18.0,89.0,3.0,11.0,False,False,False,False,False,False
28,20.0,14.0,21.0,92.0,12.0,8.0,False,False,False,False,False,False
29,21.0,11.0,20.0,92.0,15.0,6.0,False,False,False,False,False,False
30,24.0,3.0,20.0,81.0,9.0,5.0,False,False,False,False,False,False
31,29.0,3.0,19.0,78.0,5.0,4.0,False,False,False,False,False,False
32,29.0,6.0,18.0,81.0,7.0,2.0,False,False,False,False,False,False
33,27.0,6.0,19.0,84.0,10.0,2.0,False,False,False,False,False,False
34,27.0,7.0,20.0,107.0,10.0,3.0,False,False,False,False,False,False
35,26.0,16.0,15.0,124.0,9.0,3.0,False,False,False,False,False,False
36,25.0,20.0,13.0,125.0,7.0,2.0,False,False,False,False,False,False
37,20.0,22.0,10.0,119.0,4.0,1.0,False,False,False,False,False,False
38,15.0,21.0,10.0,120.0,1.0,0.0,False,False,False,False,False,False
39,14.0,10.0,13.0,112.0,2.0,0.0,False,False,False,False,False,False
40,24.0,1.0,15.0,107.0,10.0,-6.0,False,False,False,False,False,False
41,30.0,6.0,13.0,98.0,10.0,-9.0,False,False,False,False,False,False
42,28.0,12.0,24.0,104.0,9.0,-4.0,False,False,False,False,False,False
43,22.0,2.0,30.0,108.0,9.0,-1.0,False,False,False,False,False,False
