scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,376.0,15.0,18.0,210.0,36.0,19.0,False,False,False,False,False,False
2,367.0,24.0,16.0,203.0,38.0,18.0,False,False,False,False,False,False
3,345.0,22.0,18.0,171.0,41.0,19.0,False,False,False,False,False,False
4,326.0,13.0,19.0,139.0,51.0,23.0,False,False,False,False,False,False
5,295.0,16.0,15.0,108.0,59.0,26.0,False,False,False,False,False,False
6,269.0,25.0,12.0,95.0,64.0,30.0,False,False,False,False,False,False
7,254.0,19.0,11.0,92.0,62.0,36.0,False,False,False,False,False,False
8,243.0,13.0,18.0,88.0,53.0,45.0,False,False,False,False,False,False
9,225.0,11.0,28.0,82.0,45.0,52.0,False,False,False,False,False,False
10,203.0,9.0,37.0,82.0,44.0,55.0,False,False,False,False,False,False
11,178.0,12.0,33.0,83.0,42.0,55.0,False,False,False,False,False,False
12,159.0,19.0,22.0,90.0,36.0,55.0,False,False,False,False,False,False
13,145.0,21.0,18.0,104.0,34.0,48.0,False,False,False,False,False,False
14,130.0,16.0,20.0,114.0,33.0,36.0,False,False,False,False,False,False
15,113.0,7.0,23.0,106.0,29.0,30.0,False,False,False,False,False,False
16,97.0,1.0,24.0,88.0,24.0,27.0,False,False,False,False,False,False
17,81.0,3.0,26.0,82.0,17.0,20.0,False,False,False,False,False,False
18,70.0,7.0,26.0,83.0,7.0,15.0,False,False,False,False,False,False
19,60.0,4.0,34.0,84.0,7.0,14.0,False,False,False,False,False,False
20,51.0,1.0,38.0,73.0,9.0,14.0,False,False,False,False,False,False
21,47.0,7.0,29.0,85.0,12.0,15.0,False,False,False,False,False,False
22,45.0,8.0,25.0,85.0,16.0,13.0,False,False,False,False,False,False
23,42.0,1.0,32.0,90.0,15.0,12.0,False,False,False,False,False,False
24,37.0,0.0,36.0,94.0,9.0,13.0,False,False,False,False,False,False
25,33.0,8.0,30.0,122.0,5.0,14.0,False,False,False,False,False,False
26,27.0,11.0,20.0,125.0,6.0,12.0,False,False,False,False,False,False
27,28.0,7.0,16.0,124.0,15.0,8.0,False,False,False,False,False,False
28,28.0,1.0,16.0,112.0,14.0,7.0,False,False,False,False,False,False
29,24.0,-5.0,17.0,111.0,9.0,5.0,False,False,False,False,False,False
30,15.0,-5.0,14.0,104.0,9.0,3.0,False,False,False,False,False,False
31,9.0,1.0,13.0,104.0,11.0,1.0,False,False,False,False,False,False
32,10.0,5.0,16.0,98.0,14.0,2.0,False,False,False,False,False,False
33,12.0,4.0,21.0,97.0,14.0,0.0,False,False,False,False,False,False
34,9.0,4.0,25.0,104.0,7.0,0.0,False,False,False,False,False,False
35,12.0,7.0,27.0,110.0,0.0,0.0,False,False,False,False,False,False
36,15.0,12.0,21.0,111.0,-3.0,2.0,False,False,False,False,False,False
37,13.0,13.0,17.0,112.0,-3.0,4.0,False,False,False,False,False,False
38,13.0,8.0,18.0,98.0,2.0,1.0,False,False,False,False,False,False
39,20.0,5.0,19.0,89.0,6.0,0.0,False,False,False,False,False,False
40,25.0,6.0,17.0,87.0,8.0,0.0,False,False,False,False,False,False
41,25.0,6.0,17.0,84.0,12.0,0.0,False,False,False,False,False,False
42,22.0,3.0,20.0,86.0,12.0,0.0,False,False,False,False,False,False
43,15.0,2.0,20.0,82.0,10.0,1.0,False,False,False,False,False,False
44,12.0,7.0,17.0,81.0,8.0,3.0,False,False,False,False,False,False
45,10.0,9.0,17.0,72.0,6.0,4.0,False,False,False,False,False,False
46,2.0,3.0,26.0,71.0,12.0,2.0,False,False,False,False,False,False
47,1.0,0.0,35.0,78.0,10.0,5.0,False,False,False,False,False,False
48,5.0,-2.0,35.0,77.0,5.0,8.0,False,False,False,False,False,False
49,3.0,3.0,29.0,65.0,3.0,5.0,False,False,False,False,False,False
50,0.0,12.0,28.0,69.0,3.0,2.0,False,False,False,False,False,False
51,3.0,6.0,26.0,68.0,9.0,1.0,False,False,False,False,False,False
52,11.0,0.0,25.0,61.0,18.0,0.0,False,False,False,False,False,False
53,16.0,0.0,20.0,55.0,12.0,1.0,False,False,False,False,False,False
54,17.0,5.0,20.0,53.0,8.0,4.0,False,False,False,False,False,False
55,13.0,5.0,25.0,49.0,7.0,6.0,False,False,False,False,False,False
56,6.0,4.0,23.0,52.0,7.0,6.0,False,False,False,False,False,False
57,0.0,7.0,17.0,51.0,7.0,6.0,False,False,False,False,False,False
58,0.0,6.0,18.0,53.0,9.0,7.0,False,False,False,False,False,False
59,9.0,4.0,19.0,57.0,15.0,7.0,False,False,False,False,False,False
60,18.0,3.0,20.0,60.0,18.0,5.0,False,False,False,False,False,False
61,16.0,4.0,18.0,54.0,15.0,7.0,False,False,False,False,False,False
62,6.0,10.0,13.0,53.0,12.0,9.0,False,False,False,False,False,False
63,1.0,12.0,8.0,59.0,8.0,9.0,False,False,False,False,False,False
