scan,dye1,dye2,dye3,dye4,dye5,dye6,dye1GT,dye2GT,dye3GT,dye4GT,dye5GT,dye6GT
1,47.0,34.0,20.0,105.0,72.0,26.0,False,False,False,False,False,False
2,34.0,29.0,19.0,86.0,77.0,20.0,False,False,False,False,False,False
3,30.0,15.0,16.0,66.0,72.0,19.0,False,False,False,False,False,False
4,30.0,8.0,13.0,55.0,65.0,20.0,False,False,False,False,False,False
5,26.0,13.0,13.0,59.0,61.0,24.0,False,False,False,False,False,False
6,22.0,21.0,14.0,69.0,54.0,24.0,False,False,False,False,False,False
7,19.0,19.0,15.0,73.0,50.0,21.0,False,False,False,False,False,False
8,17.0,9.0,14.0,78.0,55.0,20.0,False,False,False,False,False,False
9,18.0,0.0,13.0,86.0,60.0,21.0,False,False,False,False,False,False
10,20.0,-1.0,11.0,94.0,58.0,22.0,False,False,False,False,False,False
11,19.0,6.0,5.0,98.0,61.0,22.0,False,False,False,False,False,False
12,17.0,15.0,3.0,107.0,71.0,18.0,False,False,False,False,False,False
13,15.0,17.0,8.0,97.0,76.0,12.0,False,False,False,False,False,False
14,13.0,17.0,12.0,100.0,74.0,16.0,False,False,False,False,False,False
15,10.0,19.0,11.0,110.0,57.0,20.0,False,False,False,False,False,False
16,14.0,21.0,16.0,112.0,36.0,22.0,False,False,False,False,False,False
17,8.0,22.0,14.0,101.0,31.0,20.0,False,False,False,False,False,False
18,6.0,19.0,18.0,91.0,35.0,18.0,False,False,False,False,False,False
19,14.0,12.0,23.0,88.0,29.0,18.0,False,False,False,False,False,False
20,19.0,15.0,23.0,120.0,23.0,17.0,False,False,False,False,False,False
21,18.0,14.0,18.0,114.0,20.0,14.0,False,False,False,False,False,False
22,15.0,6.0,22.0,118.0,22.0,12.0,False,False,False,False,False,False
23,14.0,3.0,20.0,115.0,21.0,12.0,False,False,False,False,False,False
24,15.0,4.0,19.0,114.0,15.0,13.0,False,False,False,False,False,False
25,13.0,5.0,16.0,113.0,9.0,13.0,False,False,False,False,False,False
26,12.0,7.0,13.0,102.0,8.0,12.0,False,False,False,False,False,False
